1,Akuntansi,1,1
2,Manajemen,1,1
3,Sistem Informasi,2,1
4,Teknik Informatika,2,1
5,Arsitektur,3,1
6,Desain Interior,3,1
7,Desain Produk,3,1
8,DKV,3,1
9,Teacher College,4,1
10,Matematika Terapan,5,1
11,Bioteknologi,5,1
12,Teknik Elektro,5,1
13,Teknik Sipil,5,1
14,Teknik Industri,5,1
15,Teknologi Pangan,5,1
16,Hukum,6,1
17,Kedokteran,7,1
18,Musik,8,1
19,Keperawatan,9,1
20,Psikologi,10,1
21,Ilmu Komunikasi,11,1
22,Hubungan Internasional,11,1
23,Perhotelan,12,1
24,Manajemen Usaha Wisata,12,1
25,International TC,13,1
